epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100_inhabitants,vaccinated_second,vaccinated_second_per_100_inhabitants,vaccinated_single,vaccinated_single_per_100_inhabitants,vaccinated_third,vaccinated_third_per_100_inhabitants
27,2020-07-01,Brazil,PE,TOTAL,65,4894,847,59705,4894,59705,5.120.816,62.472.069,8.197,41343,7970,116680,122.087.615,,,,,,,,
27,2020-07-02,Brazil,PE,TOTAL,74,4968,1414,61119,4968,61119,5.198.245,63.951.602,8.128,41925,7970,116680,122.087.615,,,,,,,,
27,2020-07-03,Brazil,PE,TOTAL,100,5068,1243,62362,5068,62362,5.302.880,65.252.210,8.127,41925,7970,116680,122.087.615,,,,,,,,
27,2020-07-04,Brazil,PE,TOTAL,48,5116,1095,63457,5116,63457,5.353.105,66.397.958,8.062,41925,7970,116680,122.087.615,,,,,,,,
28,2020-07-05,Brazil,PE,TOTAL,27,5143,1672,65129,5143,65129,5.381.356,68.147.448,7.897,44568,7970,129972,135.995.641,,,,,,,,
28,2020-07-06,Brazil,PE,TOTAL,20,5163,513,65642,5163,65642,5.402.283,68.684.223,7.865,46417,7970,129972,135.995.641,,,,,,,,
28,2020-07-07,Brazil,PE,TOTAL,71,5234,509,66151,5234,66151,5.476.573,69.216.813,7.912,46417,7970,129972,135.995.641,,,,,,,,
28,2020-07-08,Brazil,PE,TOTAL,89,5323,1453,67604,5323,67604,5.569.698,70.737.154,7.874,47881,9474,129972,135.995.641,,,,,,,,
28,2020-07-09,Brazil,PE,TOTAL,86,5409,1163,68767,5409,68767,5.659.684,71.954.054,7.866,47881,9474,129972,135.995.641,,,,,,,,
28,2020-07-10,Brazil,PE,TOTAL,73,5482,1333,70100,5482,70100,5.736.067,73.348.833,7.820,49483,9474,129972,135.995.641,,,,,,,,
28,2020-07-11,Brazil,PE,TOTAL,74,5556,1270,71370,5556,71370,5.813.497,74.677.692,7.785,49483,9474,148711,155.603.113,,,,,,,,
29,2020-07-12,Brazil,PE,TOTAL,39,5595,1100,72470,5595,72470,5.854.304,75.828.672,7.720,50850,9474,148711,155.603.113,,,,,,,,
29,2020-07-13,Brazil,PE,TOTAL,57,5652,431,72901,5652,72901,5.913.946,76.279.647,7.753,51095,9474,148711,155.603.113,,,,,,,,
29,2020-07-14,Brazil,PE,TOTAL,63,5715,675,73576,5715,73576,5.979.866,76.985.930,7.767,51095,9474,148711,155.603.113,,,,,,,,
29,2020-07-15,Brazil,PE,TOTAL,57,5772,1384,74960,5772,74960,6.039.507,78.434.073,7.700,53355,9474,159824,167.231.153,,,,,,,,
29,2020-07-16,Brazil,PE,TOTAL,64,5836,1131,76091,5836,76091,6.106.473,79.617.490,7.670,53970,9474,159824,167.231.153,,,,,,,,
29,2020-07-17,Brazil,PE,TOTAL,33,5869,1332,77423,5869,77423,6.141.003,81.011.222,7.580,53970,9474,159824,167.231.153,,,,,,,,
